cod_local	ADRIANA DO HOSPITAL	Branco	DELEGADO EDUARDO BOIGUES	FABIANO	HEROILMA	MOACYR FERNANDES	Nulo	vencedor	v_valid	e_apto	e_comp	e_abst	ADRIANA DO HOSPITAL_%	DELEGADO EDUARDO BOIGUES_%	FABIANO_%	HEROILMA_%	MOACYR FERNANDES_%	longitude	latitude
L10681	345	278	2912	326	536	57	429	DELEGADO EDUARDO BOIGUES	4176	6148	4883	1265	8,26	69,73	7,81	12,84	1,36	-46,3044635	-23,4389012
L10682	419	281	2276	183	1527	30	371	DELEGADO EDUARDO BOIGUES	4435	6728	5087	1641	9,45	51,32	4,13	34,43	0,68	-46,3171399	-23,4397659
L10683	612	271	2763	131	420	71	370	DELEGADO EDUARDO BOIGUES	3997	5993	4638	1355	15,31	69,13	3,28	10,51	1,78	-46,3538519	-23,4547514
L10684	714	346	2795	142	230	23	402	DELEGADO EDUARDO BOIGUES	3904	6224	4652	1572	18,29	71,59	3,64	5,89	0,59	-46,2892417	-23,4733774
L10685	1249	194	1220	118	262	47	330	ADRIANA DO HOSPITAL	2896	4210	3420	790	43,13	42,13	4,07	9,05	1,62	-46,3796493	-23,4397419
L10686	350	184	1670	103	267	32	250	DELEGADO EDUARDO BOIGUES	2422	3828	2856	972	14,45	68,95	4,25	11,02	1,32	-46,3577159	-23,4504049
L10687	917	224	989	93	163	33	358	DELEGADO EDUARDO BOIGUES	2195	3415	2777	638	41,78	45,06	4,24	7,43	1,50	-46,3462948	-23,4863661
L10688	447	251	1778	88	198	18	294	DELEGADO EDUARDO BOIGUES	2529	3799	3074	725	17,67	70,30	3,48	7,83	0,71	-46,3469192	-23,4249880
L10689	409	276	2308	207	1484	35	395	DELEGADO EDUARDO BOIGUES	4443	6415	5114	1301	9,21	51,95	4,66	33,40	0,79	-46,3236299	-23,4356769
L10690	600	546	2689	351	746	24	587	DELEGADO EDUARDO BOIGUES	4410	7227	5543	1684	13,61	60,98	7,96	16,92	0,54	-46,3008586	-23,4899756
L10691	236	203	1403	74	498	14	211	DELEGADO EDUARDO BOIGUES	2225	3533	2639	894	10,61	63,06	3,33	22,38	0,63	-46,3027817	-23,4646476
L10692	469	288	2499	164	693	39	356	DELEGADO EDUARDO BOIGUES	3864	5755	4508	1247	12,14	64,67	4,24	17,93	1,01	-46,3190940	-23,4664163
L10693	449	215	1473	71	231	24	236	DELEGADO EDUARDO BOIGUES	2248	3395	2699	696	19,97	65,52	3,16	10,28	1,07	-46,2784822	-23,4362237
L10694	388	227	1638	144	377	32	291	DELEGADO EDUARDO BOIGUES	2579	3943	3097	846	15,04	63,51	5,58	14,62	1,24	-46,3341386	-23,4592433
L10695	430	157	1321	62	297	17	214	DELEGADO EDUARDO BOIGUES	2127	3118	2498	620	20,22	62,11	2,91	13,96	0,80	-46,3399135	-23,4521607
L10696	432	379	2190	242	645	25	430	DELEGADO EDUARDO BOIGUES	3534	5632	4343	1289	12,22	61,97	6,85	18,25	0,71	-46,3014769	-23,4851122
L10697	70	33	356	29	111	17	54	DELEGADO EDUARDO BOIGUES	583	836	670	166	12,01	61,06	4,97	19,04	2,92	-46,3200416	-23,4795391
L10698	51	27	198	6	76	3	42	DELEGADO EDUARDO BOIGUES	334	463	403	60	15,27	59,28	1,80	22,75	0,90	-46,3115010	-23,4304579
L10699	127	91	669	52	451	7	149	DELEGADO EDUARDO BOIGUES	1306	1878	1546	332	9,72	51,23	3,98	34,53	0,54	-46,3186768	-23,4365166
L10700	348	123	1028	82	174	7	164	DELEGADO EDUARDO BOIGUES	1639	2393	1926	467	21,23	62,72	5,00	10,62	0,43	-46,3468833	-23,4505081
L10701	137	116	787	57	226	9	127	DELEGADO EDUARDO BOIGUES	1216	1770	1459	311	11,27	64,72	4,69	18,59	0,74	-46,3036059	-23,4752869
L10702	931	265	1167	126	176	37	377	DELEGADO EDUARDO BOIGUES	2437	3972	3079	893	38,20	47,89	5,17	7,22	1,52	-46,3805382	-23,4461469
L10703	46	28	227	15	25	1	36	DELEGADO EDUARDO BOIGUES	314	461	378	83	14,65	72,29	4,78	7,96	0,32	-46,3550997	-23,4505884
L10704	517	160	1609	73	317	23	222	DELEGADO EDUARDO BOIGUES	2539	3621	2921	700	20,36	63,37	2,88	12,49	0,91	-46,3403647	-23,4520104
L10705	241	171	1280	96	175	14	207	DELEGADO EDUARDO BOIGUES	1806	2993	2184	809	13,34	70,87	5,32	9,69	0,78	-46,2924618	-23,4665017
L10706	271	189	1535	136	410	17	206	DELEGADO EDUARDO BOIGUES	2369	3501	2764	737	11,44	64,80	5,74	17,31	0,72	-46,3249779	-23,4704560
L10707	216	121	856	62	149	32	118	DELEGADO EDUARDO BOIGUES	1315	1898	1554	344	16,43	65,10	4,71	11,33	2,43	-46,3539262	-23,4533863
L10708	662	324	2863	208	650	48	479	DELEGADO EDUARDO BOIGUES	4431	6872	5234	1638	14,94	64,61	4,69	14,67	1,08	-46,3281179	-23,4632699
L10709	27	26	179	17	40	1	23	DELEGADO EDUARDO BOIGUES	264	380	313	67	10,23	67,80	6,44	15,15	0,38	-46,3257053	-23,4650247
L10710	66	16	160	14	8	3	29	DELEGADO EDUARDO BOIGUES	251	363	296	67	26,29	63,75	5,58	3,19	1,20	-46,3725917	-23,4604257
L10711	25	21	83	14	21	1	13	DELEGADO EDUARDO BOIGUES	144	205	178	27	17,36	57,64	9,72	14,58	0,69	-46,3344984	-23,4598227
