cod_local	APRIGIO	Branco	DR EDUARDO NOBREGA	DR RONALDO DIAS	DR. WALDEMAR LIMA	ENGENHEIRO DANIEL	Nulo	PLINIO DO PIRAJUSSARA	PROFESSOR ODERLAN	PROFESSORA NAJARA COSTA	VITOR MEDEIROS	vencedor	v_valid	e_apto	e_comp	e_abst	APRIGIO_%	DR EDUARDO NOBREGA_%	DR RONALDO DIAS_%	DR. WALDEMAR LIMA_%	ENGENHEIRO DANIEL_%	PLINIO DO PIRAJUSSARA_%	PROFESSOR ODERLAN_%	PROFESSORA NAJARA COSTA_%	VITOR MEDEIROS_%	longitude	latitude
L07657	581,00	98,00	246,00	21,00	5,00	449,00	202,00	1,00	25,00	191,00	20,00	APRIGIO	1539,00	2349	1839	510	37,75	15,98	1,36	0,32	29,17	0,06	1,62	12,41	1,30	-46,7659123	-23,6054155
L07658	483,00	93,00	545,00	34,00	6,00	462,00	187,00	1,00	30,00	172,00	21,00	DR EDUARDO NOBREGA	1754,00	2759	2034	725	27,54	31,07	1,94	0,34	26,34	0,06	1,71	9,81	1,20	-46,7823220	-23,6158939
L10579	977,00	291,00	802,00	50,00	5,00	1554,00	374,00	25,00	77,00	178,00	48,00	ENGENHEIRO DANIEL	3716,00	5743	4381	1362	26,29	21,58	1,35	0,13	41,82	0,67	2,07	4,79	1,29	-46,7977850	-23,6318560
L10580	741,00	158,00	533,00	36,00	3,00	711,00	231,00	7,00	49,00	110,00	36,00	APRIGIO	2226,00	3699	2615	1084	33,29	23,94	1,62	0,13	31,94	0,31	2,20	4,94	1,62	-46,7981108	-23,6391481
L10581	1003,00	296,00	831,00	56,00	11,00	1256,00	407,00	12,00	68,00	196,00	49,00	ENGENHEIRO DANIEL	3482,00	5342	4185	1157	28,81	23,87	1,61	0,32	36,07	0,34	1,95	5,63	1,41	-46,7908036	-23,6354525
L10582	954,00	189,00	756,00	37,00	6,00	923,00	332,00	1,00	83,00	173,00	34,00	APRIGIO	2967,00	4589	3488	1101	32,15	25,48	1,25	0,20	31,11	0,03	2,80	5,83	1,15	-46,7837999	-23,6324890
L10583	795,00	201,00	930,00	20,00	7,00	858,00	314,00	1,00	48,00	100,00	55,00	DR EDUARDO NOBREGA	2814,00	4384	3329	1055	28,25	33,05	0,71	0,25	30,49	0,04	1,71	3,55	1,95	-46,7940695	-23,6454745
L10584	925,00	228,00	755,00	35,00	12,00	956,00	346,00	7,00	71,00	166,00	50,00	ENGENHEIRO DANIEL	2977,00	4589	3551	1038	31,07	25,36	1,18	0,40	32,11	0,24	2,38	5,58	1,68	-46,7859320	-23,6346026
L10585	960,00	218,00	724,00	25,00	13,00	1408,00	334,00	4,00	38,00	182,00	40,00	ENGENHEIRO DANIEL	3394,00	5004	3946	1058	28,29	21,33	0,74	0,38	41,48	0,12	1,12	5,36	1,18	-46,7974580	-23,6235430
L10586	172,00	50,00	275,00	31,00	0,00	497,00	77,00	3,00	25,00	79,00	4,00	ENGENHEIRO DANIEL	1086,00	1542	1213	329	15,84	25,32	2,85	0,00	45,76	0,28	2,30	7,27	0,37	-46,7963236	-23,6113818
L10587	1068,00	248,00	733,00	48,00	25,00	1230,00	387,00	8,00	67,00	166,00	62,00	ENGENHEIRO DANIEL	3407,00	5047	4042	1005	31,35	21,51	1,41	0,73	36,10	0,23	1,97	4,87	1,82	-46,8039420	-23,6189720
L10588	1169,00	282,00	1024,00	41,00	7,00	1447,00	428,00	42,00	69,00	203,00	52,00	ENGENHEIRO DANIEL	4054,00	6570	4764	1806	28,84	25,26	1,01	0,17	35,69	1,04	1,70	5,01	1,28	-46,8009504	-23,6373445
L10589	708,00	207,00	477,00	37,00	17,00	1059,00	299,00	0,00	42,00	128,00	45,00	ENGENHEIRO DANIEL	2513,00	3872	3019	853	28,17	18,98	1,47	0,68	42,14	0,00	1,67	5,09	1,79	-46,8072552	-23,6270088
L10590	1041,00	250,00	1014,00	32,00	8,00	1214,00	416,00	19,00	51,00	224,00	38,00	ENGENHEIRO DANIEL	3641,00	5849	4307	1542	28,59	27,85	0,88	0,22	33,34	0,52	1,40	6,15	1,04	-46,8073270	-23,6405439
L10591	854,00	147,00	648,00	53,00	6,00	907,00	262,00	4,00	52,00	94,00	39,00	ENGENHEIRO DANIEL	2657,00	4080	3066	1014	32,14	24,39	1,99	0,23	34,14	0,15	1,96	3,54	1,47	-46,8039612	-23,6330861
L10592	386,00	115,00	309,00	21,00	3,00	390,00	157,00	2,00	33,00	62,00	21,00	ENGENHEIRO DANIEL	1227,00	1906	1499	407	31,46	25,18	1,71	0,24	31,78	0,16	2,69	5,05	1,71	-46,7863878	-23,6345081
L10593	545,00	169,00	557,00	21,00	2,00	718,00	224,00	11,00	43,00	107,00	32,00	ENGENHEIRO DANIEL	2036,00	3124	2429	695	26,77	27,36	1,03	0,10	35,27	0,54	2,11	5,26	1,57	-46,7994842	-23,6414914
L10594	563,00	119,00	496,00	24,00	9,00	621,00	194,00	2,00	52,00	109,00	15,00	ENGENHEIRO DANIEL	1891,00	3077	2204	873	29,77	26,23	1,27	0,48	32,84	0,11	2,75	5,76	0,79	-46,7853594	-23,6290943
L10595	1079,00	272,00	1090,00	31,00	8,00	1140,00	412,00	7,00	96,00	170,00	78,00	ENGENHEIRO DANIEL	3699,00	5670	4383	1287	29,17	29,47	0,84	0,22	30,82	0,19	2,60	4,60	2,11	-46,7960960	-23,6419739
L10596	877,00	216,00	741,00	28,00	22,00	1198,00	321,00	2,00	47,00	133,00	29,00	ENGENHEIRO DANIEL	3077,00	4598	3614	984	28,50	24,08	0,91	0,71	38,93	0,06	1,53	4,32	0,94	-46,8008753	-23,6256588
L10597	406,00	108,00	324,00	16,00	6,00	526,00	154,00	0,00	27,00	73,00	26,00	ENGENHEIRO DANIEL	1404,00	2047	1666	381	28,92	23,08	1,14	0,43	37,46	0,00	1,92	5,20	1,85	-46,8009875	-23,6245414
L10598	1027,00	200,00	763,00	67,00	3,00	1227,00	394,00	11,00	83,00	144,00	61,00	ENGENHEIRO DANIEL	3386,00	5399	3980	1419	30,33	22,53	1,98	0,09	36,24	0,32	2,45	4,25	1,80	-46,7916728	-23,6338000
L10599	966,00	256,00	502,00	43,00	11,00	1090,00	338,00	5,00	39,00	82,00	63,00	ENGENHEIRO DANIEL	2801,00	4278	3395	883	34,49	17,92	1,54	0,39	38,91	0,18	1,39	2,93	2,25	-46,8098529	-23,6306390
L10600	812,00	203,00	675,00	20,00	5,00	879,00	278,00	2,00	53,00	156,00	17,00	ENGENHEIRO DANIEL	2619,00	4033	3100	933	31,00	25,77	0,76	0,19	33,56	0,08	2,02	5,96	0,65	-46,7840828	-23,6325436
L10601	976,00	231,00	850,00	28,00	3,00	1119,00	346,00	27,00	50,00	187,00	30,00	ENGENHEIRO DANIEL	3270,00	5039	3847	1192	29,85	25,99	0,86	0,09	34,22	0,83	1,53	5,72	0,92	-46,8006497	-23,6375795
L10602	737,00	158,00	586,00	32,00	10,00	772,00	255,00	3,00	38,00	119,00	33,00	ENGENHEIRO DANIEL	2330,00	3468	2743	725	31,63	25,15	1,37	0,43	33,13	0,13	1,63	5,11	1,42	-46,7901850	-23,6228220
L10603	320,00	94,00	257,00	22,00	3,00	636,00	108,00	1,00	26,00	28,00	37,00	ENGENHEIRO DANIEL	1330,00	1953	1532	421	24,06	19,32	1,65	0,23	47,82	0,08	1,95	2,11	2,78	-46,7957830	-23,6441530
L10604	411,00	136,00	302,00	33,00	6,00	626,00	152,00	4,00	22,00	67,00	33,00	ENGENHEIRO DANIEL	1504,00	2299	1792	507	27,33	20,08	2,19	0,40	41,62	0,27	1,46	4,45	2,19	-46,7941453	-23,6322846
L10605	989,00	201,00	661,00	43,00	15,00	1159,00	333,00	5,00	38,00	132,00	53,00	ENGENHEIRO DANIEL	3095,00	4646	3629	1017	31,95	21,36	1,39	0,48	37,45	0,16	1,23	4,26	1,71	-46,8001350	-23,6299000
L10606	351,00	92,00	280,00	14,00	6,00	425,00	114,00	5,00	16,00	78,00	11,00	ENGENHEIRO DANIEL	1186,00	1739	1392	347	29,60	23,61	1,18	0,51	35,83	0,42	1,35	6,58	0,93	-46,7921549	-23,6189086
L10607	786,00	161,00	529,00	29,00	4,00	820,00	266,00	8,00	59,00	72,00	26,00	ENGENHEIRO DANIEL	2333,00	3976	2760	1216	33,69	22,67	1,24	0,17	35,15	0,34	2,53	3,09	1,11	-46,7988990	-23,6410980
L10608	806,00	246,00	645,00	48,00	18,00	1326,00	358,00	3,00	37,00	134,00	65,00	ENGENHEIRO DANIEL	3082,00	4548	3686	862	26,15	20,93	1,56	0,58	43,02	0,10	1,20	4,35	2,11	-46,8093957	-23,6268763
